,name,sex,count,syllables,consonants,ratio
128,Aron,F,355,2,2,1
129,Arrie,F,1752,2,2,1
130,Art,F,5,1,2,2
131,Arther,F,47,2,4,2
132,Arthur,F,3193,2,4,2
133,Artie,F,6392,2,2,1
134,Arvilla,F,2931,3,4,1.333333333
135,Asa,F,1317,2,1,0.5
136,Ashby,F,667,2,4,2
137,Asher,F,852,2,3,1.5
138,Ashley,F,846120,2,4,2
139,Aubrey,F,111528,2,3,1.5
140,August,F,4120,2,3,1.5
141,Augusta,F,16279,3,3,1
142,Augustine,F,3650,3,4,1.333333333
143,Augustus,F,10,3,4,1.333333333
144,Aurelia,F,13341,3,2,0.666666667
145,Aurora,F,57085,3,2,0.666666667
146,Austin,F,4679,2,3,1.5
147,Auther,F,17,2,3,1.5
148,Ava,F,265818,2,1,0.5
149,Avery,F,125883,3,3,1
150,Avis,F,17149,2,2,1
151,Axel,F,137,2,2,1
152,Babe,F,383,1,2,2
153,Bailey,F,99004,2,3,1.5
154,Bama,F,498,2,2,1
155,Barbara,F,1434397,3,4,1.333333333
156,Barnett,F,6,2,5,2.5
157,Barney,F,91,2,4,2
158,Bart,F,5,1,3,3
159,Basil,F,195,2,3,1.5
160,Beatrice,F,191101,3,4,1.333333333
161,Becky,F,86616,2,4,2
162,Bell,F,2453,1,3,3
163,Bella,F,61989,2,3,1.5
164,Belle,F,17389,1,3,3
165,Ben,F,467,1,2,2
166,Bena,F,600,2,2,1
167,Benito,F,31,3,3,1
168,Benjamin,F,2414,3,5,1.666666667
169,Bennett,F,1201,2,5,2.5
170,Bennie,F,9733,2,3,1.5
171,Benton,F,6,2,4,2
172,Bernadette,F,53670,3,6,2
173,Bernard,F,983,2,5,2.5
174,Bernice,F,181823,2,4,2
175,Bernie,F,1535,2,3,1.5
176,Berry,F,353,2,4,2
177,Bert,F,657,1,3,3
178,Berta,F,7240,2,3,1.5
179,Bertha,F,207642,2,4,2
180,Bertie,F,13651,2,3,1.5
181,Beryl,F,10076,2,4,2
182,Bess,F,7147,1,3,3
183,Besse,F,671,1,3,3
184,Bessie,F,170038,2,3,1.5
185,Betsy,F,48388,2,4,2
186,Bettie,F,38319,2,3,1.5
187,Betty,F,999718,2,4,2
188,Beulah,F,73119,2,3,1.5
189,Beverly,F,377088,3,5,1.666666667
190,Bill,F,716,1,3,3
191,Billie,F,101502,2,3,1.5
192,Billy,F,5358,2,4,2
193,Bird,F,121,1,3,3
194,Birdie,F,12357,2,3,1.5
195,Birt,F,5,1,3,3
196,Birtha,F,1973,2,4,2
197,Birtie,F,946,2,3,1.5
198,Bishop,F,24,2,4,2
199,Blaine,F,1060,1,3,3
200,Blanch,F,6420,1,5,5
201,Blanche,F,87365,1,5,5
202,Bob,F,322,1,2,2
203,Bonnie,F,324421,2,3,1.5
204,Boston,F,711,2,4,2
205,Boyd,F,65,1,3,3
206,Brad,F,233,1,3,3
207,Bradford,F,39,2,6,3
208,Bradley,F,1593,2,5,2.5
209,Bridget,F,89699,2,5,2.5
210,Brooks,F,1220,1,4,4
211,Bruce,F,1397,1,3,3
212,Bryant,F,232,2,5,2.5
213,Buford,F,110,2,4,2
214,Bulah,F,3027,2,3,1.5
215,Burl,F,19,1,3,3
216,Burley,F,40,2,4,2
217,Burton,F,48,2,4,2
218,Buster,F,5,2,4,2
219,Byrd,F,253,1,4,4
220,Byron,F,303,2,4,2
221,Caddie,F,96,2,3,1.5
222,Cal,F,10,1,2,2
223,Caleb,F,595,2,3,1.5
224,Calla,F,3461,2,3,1.5
225,Callie,F,58424,2,3,1.5
226,Calvin,F,1192,2,4,2
227,Camilla,F,23059,3,4,1.333333333
228,Camille,F,67052,2,4,2
229,Carey,F,12704,2,3,1.5
230,Carl,F,3192,1,3,3
231,Carlos,F,2031,2,4,2
232,Carlotta,F,6218,3,5,1.666666667
233,Carlton,F,277,2,5,2.5
234,Carol,F,816291,2,3,1.5
235,Carolina,F,42986,4,4,1
236,Caroline,F,228558,3,4,1.333333333
237,Carolyn,F,555160,3,5,1.666666667
238,Carra,F,1320,2,3,1.5
239,Carrie,F,265840,2,3,1.5
240,Carroll,F,5910,2,5,2.5
241,Carson,F,6840,2,4,2
242,Cary,F,5317,2,3,1.5
243,Cassie,F,45328,2,3,1.5
244,Cassius,F,7,2,4,2
245,Catharine,F,12946,2,5,2.5
246,Catherine,F,660366,3,5,1.666666667
247,Cathrine,F,7703,3,5,1.666666667
248,Cecelia,F,56573,3,3,1
249,Cecil,F,7682,2,3,1.5
250,Cecile,F,20268,2,3,1.5
251,Cecilia,F,96826,3,3,1
252,Celestia,F,1183,3,4,1.333333333
253,Celestine,F,9590,4,5,1.25
254,Celia,F,54225,2,2,1
255,Celie,F,496,2,2,1
256,Celina,F,14583,3,3,1
257,Chancy,F,209,2,5,2.5
258,Charity,F,34605,3,5,1.666666667
259,Charles,F,12418,1,5,5
260,Charley,F,8193,2,5,2.5
261,Charlie,F,24912,2,4,2
262,Charlotta,F,966,3,6,2
263,Charlotte,F,361900,2,6,3
264,Chas,F,10,1,3,3
265,Chauncey,F,508,2,5,2.5
266,Cherry,F,11380,2,5,2.5
267,Chesley,F,589,2,5,2.5
268,Chester,F,828,2,5,2.5
269,Chloe,F,210125,2,3,1.5
270,Chris,F,22908,1,4,4
271,Christ,F,52,1,5,5
272,Christena,F,2834,3,6,2
273,Christian,F,19557,2,6,3
274,Christina,F,476495,3,6,2
275,Christine,F,584855,2,6,3
276,Christopher,F,9470,3,8,2.666666667
277,Cinda,F,4590,2,3,1.5
278,Clair,F,4106,1,3,3
279,Claire,F,186762,1,3,3
280,Clara,F,280156,2,3,1.5
281,Clare,F,29369,1,3,3
282,Clarence,F,1859,2,5,2.5
283,Clarice,F,25181,2,4,2
284,Clarinda,F,1325,3,5,1.666666667
285,Clarissa,F,38655,3,5,1.666666667
286,Clark,F,212,1,4,4
287,Clarke,F,759,1,4,4
288,Classie,F,1607,2,4,2
289,Claud,F,47,1,3,3
290,Claude,F,953,1,3,3
291,Claudia,F,126621,3,3,1
292,Claudie,F,3739,2,3,1.5
293,Claudine,F,11307,2,4,2
294,Clay,F,263,1,3,3
295,Clayton,F,584,2,5,2.5
296,Clem,F,54,1,3,3
297,Clement,F,6,2,5,2.5
298,Clementine,F,9771,3,6,2
299,Clemie,F,211,2,3,1.5
300,Clemmie,F,2631,2,4,2
301,Cleo,F,30682,2,2,1
302,Cleveland,F,87,2,6,3
303,Clifford,F,2019,2,6,3
304,Clifton,F,436,2,5,2.5
305,Clint,F,54,1,4,4
306,Clinton,F,433,2,5,2.5
307,Clovis,F,627,2,4,2
308,Clyda,F,758,2,4,2
309,Clyde,F,3932,1,4,4
310,Coleman,F,29,2,4,2
311,Colin,F,435,2,3,1.5
312,Concepcion,F,5175,4,6,1.5
313,Connie,F,266402,2,3,1.5
314,Conrad,F,16,2,4,2
315,Constance,F,139092,2,6,3
316,Cora,F,135490,2,2,1
317,Corda,F,567,2,3,1.5
318,Cordelia,F,11206,3,4,1.333333333
319,Cordella,F,377,3,5,1.666666667
320,Cordia,F,1456,2,3,1.5
321,Cordie,F,2064,2,3,1.5
322,Corine,F,14521,3,3,1
323,Corinne,F,48100,2,4,2
324,Cornelia,F,21771,3,4,1.333333333
325,Cornelious,F,113,4,5,1.25
326,Cornelius,F,642,3,5,1.666666667
327,Corrie,F,8284,2,3,1.5
328,Corrine,F,20557,3,4,1.333333333
329,Coy,F,866,1,2,2
330,Crawford,F,19,2,6,3
331,Creola,F,1742,2,3,1.5
332,Cruz,F,4071,1,3,3
333,Cullen,F,106,2,4,2
334,Curtis,F,2322,2,4,2
335,Cynthia,F,709180,3,5,1.666666667
336,Cyril,F,97,2,4,2
337,Cyrus,F,16,2,4,2
338,Daisey,F,2389,2,3,1.5
339,Daisie,F,1044,2,2,1
340,Daisy,F,141868,2,3,1.5
341,Dallas,F,12635,2,4,2
342,Damon,F,316,2,3,1.5
343,Dan,F,545,1,2,2
344,Dana,F,191812,2,2,1
345,Danial,F,80,2,3,1.5
346,Daniel,F,8181,2,3,1.5
347,Darius,F,272,3,3,1
348,Dave,F,114,1,2,2
349,David,F,12907,2,3,1.5
350,Davie,F,796,2,2,1
351,Davis,F,863,2,3,1.5
352,Dayton,F,522,2,4,2
353,Dean,F,2885,1,2,2
354,Debbie,F,187673,2,3,1.5
355,Deborah,F,740705,3,4,1.333333333
356,Dee,F,15831,1,1,1
357,Delbert,F,122,2,5,2.5
358,Delia,F,36276,2,2,1
359,Delila,F,3226,3,3,1
360,Delilah,F,39927,3,4,1.333333333
361,Dell,F,2544,1,3,3
362,Della,F,67818,2,3,1.5
363,Dellar,F,576,2,4,2
364,Delmar,F,134,2,4,2
365,Delphia,F,4236,3,4,1.333333333
366,Delphine,F,10143,3,5,1.666666667
367,Dempsey,F,331,2,5,2.5
368,Dena,F,32250,2,2,1
369,Denis,F,818,2,3,1.5
370,Dennis,F,2668,2,4,2
371,Denver,F,1902,2,4,2
372,Dessa,F,1721,2,3,1.5
373,Dessie,F,11364,2,3,1.5
374,Dexter,F,217,2,4,2
375,Diana,F,359205,3,2,0.666666667
376,Dicie,F,1167,2,2,1
377,Dick,F,48,1,3,3
378,Dillie,F,537,2,3,1.5
379,Dinah,F,10214,2,3,1.5
380,Dixie,F,43209,2,2,1
381,Docia,F,1105,2,2,1
382,Dollie,F,19156,2,3,1.5
383,Dolly,F,19907,2,4,2
384,Dolores,F,211012,3,4,1.333333333
385,Don,F,1207,1,2,2
386,Dona,F,18841,2,2,1
387,Donald,F,5563,2,4,2
388,Donie,F,956,2,2,1
389,Donna,F,830845,2,3,1.5
390,Donnie,F,7126,2,3,1.5
391,Dora,F,105352,2,2,1
392,Dorcas,F,7073,2,4,2
393,Doris,F,461943,2,3,1.5
394,Dorothea,F,33906,4,4,1
395,Dorothy,F,1107635,3,5,1.666666667
396,Dorsey,F,817,2,4,2
397,Dosha,F,384,2,3,1.5
398,Doshia,F,763,2,3,1.5
399,Doshie,F,799,2,3,1.5
400,Douglas,F,2075,2,4,2
401,Dove,F,834,1,2,2
402,Dovie,F,8924,2,2,1
403,Drew,F,7187,1,3,3
404,Drucilla,F,3553,3,5,1.666666667
405,Drusilla,F,2883,3,5,1.666666667
406,Dudley,F,120,2,4,2
407,Duncan,F,11,2,4,2
408,Dwight,F,325,1,5,5
409,Earl,F,2248,1,2,2
410,Earle,F,285,1,2,2
411,Early,F,373,2,3,1.5
412,Earnest,F,726,2,4,2
413,Easter,F,5513,2,3,1.5
414,Eben,F,6,2,2,1
415,Ed,F,165,1,1,1
416,Eda,F,4064,2,1,0.5
417,Edd,F,13,1,2,2
418,Eddie,F,15695,2,2,1
419,Edgar,F,705,2,3,1.5
420,Edie,F,4829,2,1,0.5
421,Edith,F,266536,2,3,1.5
422,Edmond,F,7,2,4,2
423,Edmonia,F,899,3,3,1
424,Edmund,F,60,2,4,2
425,Edna,F,294376,2,2,1
426,Ednah,F,75,2,3,1.5
427,Edward,F,5362,2,4,2
428,Edwin,F,1192,2,3,1.5
429,Edyth,F,2241,2,4,2
430,Edythe,F,13825,2,4,2
431,Effa,F,312,2,2,1
432,Effie,F,43718,2,2,1
433,Elaine,F,257740,2,2,1
434,Elbert,F,97,2,4,2
435,Elda,F,8867,2,2,1
436,Elder,F,52,2,3,1.5
437,Eldora,F,4059,3,3,1
438,Eleanor,F,288417,3,3,1
439,Eleanora,F,6464,4,3,0.75
440,Eleanore,F,17885,3,3,1
441,Electa,F,1181,3,3,1
442,Elena,F,77781,3,2,0.666666667
443,Elenora,F,3389,4,3,0.75
444,Eli,F,772,2,1,0.5
445,Elias,F,179,3,2,0.666666667
446,Elie,F,298,2,1,0.5
447,Elijah,F,1129,3,3,1
448,Elinor,F,20532,3,3,1
449,Elisa,F,42693,3,2,0.666666667
450,Elisabeth,F,46065,4,5,1.25
451,Elise,F,66091,2,2,1
452,Elisha,F,13762,3,3,1
453,Eliza,F,53838,3,2,0.666666667
454,Elizabeth,F,1638349,4,5,1.25
455,Elizebeth,F,4593,4,5,1.25
456,Ella,F,304948,2,2,1
457,Ellar,F,511,2,3,1.5
458,Ellen,F,273297,2,3,1.5
459,Ellie,F,64422,2,2,1
460,Elliot,F,4434,3,3,1
461,Elliott,F,4410,3,4,1.333333333
462,Ellis,F,4333,2,3,1.5
463,Elma,F,21507,2,2,1
464,Elmer,F,1753,2,3,1.5
465,Elmina,F,759,3,3,1
466,Elmira,F,4297,3,3,1
467,Elmire,F,213,3,3,1
468,Elmo,F,247,2,2,1
469,Elmore,F,10,2,3,1.5
470,Elnora,F,21205,3,3,1
471,Eloise,F,52732,2,2,1
472,Elroy,F,6,2,3,1.5
473,Elsa,F,28781,2,2,1
474,Elsie,F,178650,2,2,1
475,Elton,F,188,2,3,1.5
476,Elva,F,31399,2,2,1
477,Elvin,F,234,2,3,1.5
478,Elvina,F,2541,3,3,1
479,Elvira,F,26692,3,3,1
480,Elwood,F,53,2,3,1.5
481,Ely,F,446,2,2,1
482,Elza,F,744,2,2,1
483,Elzie,F,601,2,2,1
484,Emanuel,F,93,4,3,0.75
485,Emelia,F,9784,3,2,0.666666667
486,Emelie,F,2365,3,2,0.666666667
487,Emeline,F,3141,3,3,1
488,Emerson,F,20904,3,4,1.333333333
489,Emery,F,22379,3,3,1
490,Emil,F,134,2,2,1
491,Emile,F,647,2,2,1
492,Emilia,F,35909,4,2,0.5
493,Emilie,F,25307,3,2,0.666666667
494,Emily,F,850263,3,3,1
495,Emma,F,672893,2,2,1
496,Emmaline,F,5824,4,4,1
497,Emmer,F,2155,2,3,1.5
498,Emmett,F,158,2,4,2
499,Emmie,F,7414,2,2,1
500,Emory,F,5423,3,3,1
501,Ena,F,3284,2,1,0.5
502,Ennis,F,320,2,3,1.5
503,Enrique,F,260,3,3,1
504,Eola,F,740,2,1,0.5
505,Era,F,5609,2,1,0.5
506,Eric,F,4293,2,2,1
507,Erie,F,1417,2,1,0.5
508,Erma,F,54790,2,2,1
509,Erna,F,9054,2,2,1
510,Ernest,F,1855,2,4,2
511,Ernestine,F,44012,3,5,1.666666667
512,Ernie,F,714,2,2,1
513,Ervin,F,138,2,3,1.5
514,Erwin,F,49,2,3,1.5
515,Essie,F,39336,2,2,1
516,Esta,F,4397,2,2,1
517,Estell,F,4232,2,4,2
518,Estella,F,39414,3,4,1.333333333
519,Estelle,F,53539,2,4,2
520,Esther,F,256968,2,4,2
521,Estie,F,279,2,2,1
522,Etha,F,1802,2,2,1
523,Ethel,F,278732,2,3,1.5
524,Ethelyn,F,4450,3,5,1.666666667
525,Ethyl,F,2395,2,4,2
526,Etna,F,676,2,2,1
527,Etta,F,41357,2,2,1
528,Etter,F,476,2,3,1.5
529,Ettie,F,1807,2,2,1
530,Eudora,F,2066,3,2,0.666666667
531,Eugene,F,2626,2,2,1
532,Eugenia,F,29550,4,2,0.5
533,Eugenie,F,3368,3,2,0.666666667
534,Eula,F,47084,2,1,0.5
535,Eulalia,F,4474,3,2,0.666666667
536,Eunice,F,79630,2,2,1
537,Euphemia,F,675,4,3,0.75
538,Eva,F,266324,2,1,0.5
539,Evalena,F,1273,4,3,0.75
540,Evaline,F,1561,4,3,0.75
541,Evalyn,F,8156,3,4,1.333333333
542,Evan,F,4212,2,2,1
543,Evans,F,49,2,3,1.5
544,Eve,F,25384,1,1,1
545,Evelina,F,4813,4,3,0.75
546,Evelyn,F,573403,3,4,1.333333333
547,Everett,F,690,3,4,1.333333333
548,Everette,F,219,3,4,1.333333333
549,Evie,F,14169,2,1,0.5
550,Ezekiel,F,21,3,3,1
551,Ezra,F,2325,2,2,1
552,Faith,F,136274,1,3,3
553,Fannie,F,85005,2,3,1.5
554,Fanny,F,9504,2,4,2
555,Fate,F,130,1,2,2
556,Fay,F,31784,1,2,2
557,Faye,F,68509,1,2,2
558,Fayette,F,579,2,4,2
559,Felicia,F,90856,3,3,1
560,Felipe,F,133,2,3,1.5
561,Felix,F,596,2,3,1.5
562,Fern,F,36601,1,3,3
563,Fernando,F,590,3,5,1.666666667
564,Fidelia,F,711,3,3,1
565,Finis,F,5,2,3,1.5
566,Finley,F,14369,2,4,2
567,Fletcher,F,139,2,6,3
568,Flora,F,68172,2,3,1.5
569,Florance,F,1672,2,5,2.5
570,Florence,F,335462,2,5,2.5
571,Florida,F,3527,3,4,1.333333333
572,Flossie,F,21795,2,4,2
573,Floy,F,6611,1,3,3
574,Floyd,F,1377,1,4,4
575,Ford,F,11,1,3,3
576,Forest,F,477,2,4,2
577,Forrest,F,969,2,5,2.5
578,Foster,F,157,2,4,2
579,Frances,F,590068,2,5,2.5
580,Francis,F,29194,2,5,2.5
581,Francisco,F,954,3,6,2
582,Frank,F,4611,1,4,4
583,Frankie,F,33572,2,4,2
584,Franklin,F,723,2,6,3
585,Fred,F,2029,1,3,3
586,Freda,F,42409,1,3,3
587,Freddie,F,10255,2,4,2
588,Frederick,F,1105,2,6,3
589,Fredrick,F,259,2,6,3
590,Freeman,F,5,2,4,2
591,Frieda,F,25235,2,3,1.5
592,Frona,F,873,2,3,1.5
593,Fronie,F,789,2,3,1.5
594,Fronnie,F,213,2,4,2
595,Gabriel,F,6701,3,4,1.333333333
596,Gardner,F,5,2,5,2.5
597,Garland,F,845,2,5,2.5
598,Garrett,F,452,2,5,2.5
599,Garry,F,179,2,4,2
600,Gary,F,3285,2,3,1.5
601,Gee,F,17,1,1,1
602,Gena,F,12799,2,2,1
603,Gene,F,6986,1,2,2
604,Geneva,F,87757,3,3,1
605,Genevieve,F,112467,3,4,1.333333333
606,Genie,F,2700,2,2,1
607,Geo,F,16,2,1,0.5
608,George,F,9930,1,3,3
609,Georgia,F,152359,2,3,1.5
610,Georgiana,F,9134,4,4,1
611,Georgianna,F,9088,3,5,1.666666667
612,Georgie,F,12015,2,3,1.5
613,Georgina,F,15553,3,4,1.333333333
614,Gerald,F,2385,2,4,2
615,Geraldine,F,210522,3,5,1.666666667
616,Gertie,F,8507,2,3,1.5
617,Gertrude,F,176886,2,5,2.5
618,Gideon,F,16,3,3,1
619,Gilbert,F,673,2,5,2.5
620,Gina,F,152276,2,2,1
621,Gladys,F,266287,2,5,2.5
622,Glen,F,1348,1,3,3
623,Glenn,F,2136,1,4,4
624,Glenna,F,25573,2,4,2
625,Golda,F,6016,2,3,1.5
626,Golden,F,1998,2,4,2
627,Goldie,F,36138,2,3,1.5
628,Gordon,F,670,2,4,2
629,Grace,F,497009,1,3,3
630,Gracia,F,1864,2,3,1.5
631,Gracie,F,74828,2,3,1.5
632,Grant,F,202,1,4,4
633,Grayce,F,4268,2,4,2
634,Gregorio,F,5,4,4,1
635,Gregory,F,2862,3,5,1.666666667
636,Grover,F,92,2,4,2
637,Guadalupe,F,65156,3,4,1.333333333
638,Gus,F,5,1,2,2
639,Gussie,F,13083,2,3,1.5
640,Guy,F,470,1,2,2
641,Gwendolyn,F,118621,3,7,2.333333333
642,Hal,F,12,1,2,2
643,Hallie,F,30613,2,3,1.5
644,Halsey,F,262,2,4,2
645,Hampton,F,124,2,5,2.5
646,Handy,F,5,2,4,2
647,Hanna,F,37954,2,3,1.5
648,Hannah,F,433510,2,4,2
649,Hans,F,5,1,3,3
650,Hardy,F,10,2,4,2
651,Harlan,F,235,2,4,2
652,Harley,F,24299,2,4,2
653,Harman,F,63,2,4,2
654,Harmon,F,21,2,4,2
655,Harold,F,2648,2,4,2
656,Harrie,F,52,2,3,1.5
657,Harriet,F,88689,3,4,1.333333333
658,Harriett,F,21544,2,5,2.5
659,Harriette,F,8686,3,5,1.666666667
660,Harris,F,134,2,4,2
661,Harrison,F,253,3,5,1.666666667
662,Harry,F,2017,2,4,2
663,Harvey,F,730,2,4,2
664,Hassie,F,1543,2,3,1.5
665,Hattie,F,99773,2,3,1.5
666,Hayden,F,26800,2,4,2
667,Hayes,F,386,1,3,3
668,Hazel,F,260372,2,3,1.5
669,Hector,F,481,2,4,2
670,Hedwig,F,3077,2,4,2
671,Helen,F,1019053,2,3,1.5
672,Helena,F,35568,3,3,1
673,Helene,F,33082,2,3,1.5
674,Helma,F,595,2,3,1.5
675,Henrietta,F,50797,4,5,1.25
676,Henry,F,4525,2,4,2
677,Herbert,F,1117,2,5,2.5
678,Herman,F,795,2,4,2
679,Hermine,F,1534,2,4,2
680,Hermon,F,36,2,4,2
681,Hershel,F,5,2,5,2.5
682,Hessie,F,1118,2,3,1.5
683,Hester,F,14209,2,4,2
684,Hettie,F,7287,2,3,1.5
685,Hezekiah,F,5,3,4,1.333333333
686,Hilda,F,80651,2,3,1.5
687,Hilma,F,2999,2,3,1.5
688,Hollie,F,17962,2,3,1.5
689,Hollis,F,4368,2,4,2
690,Holly,F,200467,2,4,2
691,Homer,F,367,2,3,1.5
692,Honora,F,1586,3,3,1
693,Hope,F,88887,1,2,2
694,Horace,F,202,2,3,1.5
695,Hortense,F,6313,3,5,1.666666667
696,Hosea,F,20,3,2,0.666666667
697,Houston,F,311,2,4,2
698,Howard,F,1677,2,4,2
699,Hoyt,F,10,1,3,3
700,Hubert,F,189,2,4,2
701,Hudson,F,1200,2,4,2
702,Huey,F,5,2,2,1
703,Hugh,F,354,1,3,3
704,Hugo,F,30,2,2,1
705,Hulda,F,5407,2,3,1.5
706,Huldah,F,850,2,4,2
707,Hunter,F,12052,2,4,2
708,Icy,F,1087,2,2,1
709,Ida,F,186399,2,1,0.5
710,Idell,F,3425,2,3,1.5
711,Idella,F,6500,3,3,1
712,Ila,F,22399,2,1,0.5
713,Imogene,F,27440,3,3,1
714,Ina,F,33727,2,1,0.5
715,India,F,22423,3,2,0.666666667
716,Indiana,F,1396,4,3,0.75
717,Inez,F,67508,2,2,1
718,Inga,F,4018,2,2,1
719,Iola,F,9599,3,1,0.333333333
720,Iona,F,11798,3,1,0.333333333
721,Ione,F,9907,3,1,0.333333333
722,Ira,F,5912,2,1,0.5
723,Irena,F,1998,3,2,0.666666667
724,Irene,F,352199,2,2,1
725,Iris,F,81781,2,2,1
726,Irma,F,73332,2,2,1
727,Irvin,F,75,2,3,1.5
728,Irving,F,85,2,4,2
729,Irwin,F,12,2,3,1.5
730,Isa,F,2760,2,1,0.5
731,Isaac,F,740,2,2,1
732,Isabel,F,119138,3,3,1
733,Isabell,F,14540,3,4,1.333333333
734,Isabella,F,335390,4,4,1
735,Isabelle,F,93008,3,4,1.333333333
736,Isadora,F,3533,4,3,0.75
737,Isadore,F,174,4,3,0.75
738,Isaiah,F,625,3,2,0.666666667
739,Isiah,F,11,2,2,1
740,Israel,F,1254,3,3,1
741,Isreal,F,58,2,3,1.5
742,Issac,F,17,2,3,1.5
743,Iva,F,37615,2,1,0.5
744,Ivah,F,865,2,2,1
745,Ivan,F,642,2,2,1
746,Ivey,F,3346,2,2,1
747,Ivory,F,10199,3,3,1
748,Ivy,F,50367,2,2,1
749,Izora,F,1136,3,2,0.666666667
750,Jack,F,2656,1,3,3
751,Jackson,F,638,2,5,2.5
752,Jacob,F,2254,2,3,1.5
753,Jake,F,217,1,2,2
754,James,F,23399,1,3,3
